"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income %","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lowmod_hh","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025110502","MA","25025110502","=""25025110502""","112.24","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110601","MA","25025110601","=""25025110601""","124.46","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110607","MA","25025110607","=""25025110607""","137.97","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120103","MA","25025120103","=""25025120103""","220.06","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120104","MA","25025120104","=""25025120104""","127.03","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120105","MA","25025120105","=""25025120105""","170.15","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120201","MA","25025120201","=""25025120201""","95.97","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120301","MA","25025120301","=""25025120301""","115.79","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120400","MA","25025120400","=""25025120400""","145.54","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120500","MA","25025120500","=""25025120500""","140.30","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120600","MA","25025120600","=""25025120600""","130.89","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025120700","MA","25025120700","=""25025120700""","110.68","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025130101","MA","25025130101","=""25025130101""","137.38","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025130200","MA","25025130200","=""25025130200""","137.32","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025130300","MA","25025130300","=""25025130300""","146.69","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025130402","MA","25025130402","=""25025130402""","96.00","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025130404","MA","25025130404","=""25025130404""","86.02","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025130406","MA","25025130406","=""25025130406""","41.31","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140102","MA","25025140102","=""25025140102""","114.39","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140105","MA","25025140105","=""25025140105""","75.57","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140106","MA","25025140106","=""25025140106""","53.22","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140107","MA","25025140107","=""25025140107""","94.33","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140201","MA","25025140201","=""25025140201""","98.37","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140202","MA","25025140202","=""25025140202""","99.49","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
