businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Dandelion Coffee & Provisions,,70 Rowes,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2024-12-03 17:29:26.357+00,,155693,42.35590681494772,-71.05016516789601
Dani's Queer Bar,,907 Boylston,Boston,MA,02115,Active,FS,Eating & Drinking,2024-08-12 18:24:59.913+00,6173260009,18419,42.348460000169304,-71.08432000183386
Dans Mini Dogs,,1010 Massachusetts,Roxbury,MA,02118,Active,FS,Eating & Drinking,2024-08-08 18:10:21.517+00,,345943,42.327838154665926,-71.06716727246007
Darbar Indo-Pak Rest.,,130 Beacon,Brighton,MA,02135,Active,FS,Eating & Drinking,2009-08-07 14:39:22+00,,12557,42.354889999517724,-71.14476000126373
Dash Cafe,,1 Henshaw,Brighton,MA,02135,Active,FS,Eating & Drinking,2012-04-25 16:22:15+00,6172352797,166187,42.34946386169948,-71.14964811644148
Dave's Hot Chicken,,123 Stuart,Boston,MA,02116,Active,FS,Eating & Drinking,2023-09-11 15:43:27.35+00,,156379,42.35137819507775,-71.06572941209998
Dave's Hot Chicken,,1260 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2024-03-12 16:05:34.653+00,,348053,42.344890235705535,-71.09602570965198
Dave's Hot Chicken,,4 Lucy,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2022-12-22 15:12:25.743+00,,420663,42.32463638965348,-71.06208476963702
Da Vinci Gelato & Waffle,,295 Huntington,Boston,MA,02115,Active,FS,Eating & Drinking,2024-04-23 14:19:04.663+00,6177555547,348048,42.341400000085265,-71.08695000137992
DAVIO'S,,300 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2019-02-01 18:09:13.133+00,,,,
DAVIO'S,,75 Arlington,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:35:39+00,6177974810,156164,42.35068211900056,-71.07035851283493
Davios Northern Italian Steakhouse,,50 Liberty,Boston,MA,02210,Active,FS,Eating & Drinking,2019-04-05 14:34:43.39+00,6179907939,355282,42.35416623030651,-71.04466652705202
Day Shift Cafe,,115 Federal,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2023-06-13 18:33:17.6+00,,57152,42.35461077009476,-71.05667405364166
DBAR,,1236 Dorchester,Dorchester,MA,02125,Active,FS,Eating & Drinking,2006-12-07 18:36:26+00,6172654490,156562,42.30843100824006,-71.05803110856112
D'BENNY'S SUBS,,1433 DORCHESTER ,DORCHESTER,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:41+00,6179136287,,42.30218127370517,-71.05981954062426
D'Buly Chimis,,1151B Blue Hill,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2022-10-31 17:03:00.637+00,8578694315,441941,42.285219492880884,-71.0914350835707
D Coal Pot,,984 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2013-07-01 18:36:06+00,8573459512,166488,42.26605399967406,-71.12084000085567
DD1/B14,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 16:10:35+00,7742054363,424258,42.34673007807398,-71.0986629781914
DD2 Dippin Dots,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 16:11:55+00,7742054363,424258,42.34673007807398,-71.0986629781914
Deja - Brew,,704 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2006-12-07 18:34:45+00,6172697462,158055,42.335790324459886,-71.03723887487365
Delfino Restaurant,,754 South,Roslindale,MA,02131,Active,FS,Eating & Drinking,2006-12-07 18:35:27+00,6173646738,128944,42.287019999575165,-71.12948000069592
Del Frisco's Double Eagle Steakhouse,,888 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2025-04-10 19:22:47.97+00,6172591568,423600,42.34817429977942,-71.08287429932396
DelFriscos Double Eagle Steak House,,250 Northern,Boston,MA,02210,Active,FS,Eating & Drinking,2010-11-04 14:25:12+00,2147251112,342824,42.3489360217995,-71.03840030091274
Delicias Del Caribe,,149 Stoughton,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2009-12-28 20:25:46+00,6173793381,131112,42.31464428896517,-71.06032213661398
Delicious Yogurt,,4198 Washington,Roslindale,MA,02131,Active,FT,Eating & Drinking w/ Take Out,2014-02-19 13:32:37+00,,145150,42.28684714069794,-71.12736073690017
Delini Gelato,,5 Bellevue,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2019-11-15 17:29:03+00,7742082810,13966,42.28354048054102,-71.1566163159841
DELI OF COURSE,,451 D,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:22+00,7816621277,157722,42.34552688352951,-71.04248878974228
DELI OF COURSE,,695 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2025-12-12 15:18:56.637+00,6177373243,6319,42.35159200008501,-71.05639700079323
Deli One,,85 ARCH ST,BOSTON,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2008-02-26 18:08:52+00,6172927825,,42.35517999999538,-71.05848000123291
Del's Lemonade (Vending 10),,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2018-04-27 13:21:29.647+00,5085235781,424258,42.34673007807398,-71.0986629781914
Delta Premium Lounge,,500 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2023-08-23 14:19:15.05+00,4043674086,341351,42.36990420124479,-71.01943927546833
Delta Sky Club Express,,500 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2022-07-25 18:32:04.13+00,,341351,42.36990420124479,-71.01943927546833
Delta Sky Club Terminal SAT,,100 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2021-10-19 17:20:19.647+00,8663723035,341357,42.364539860564015,-71.02181743285618
Delta Sky Club Trmnl A Main,,100 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2015-03-20 17:25:44.143+00,6175682038,341357,42.364539860564015,-71.02181743285618
Democracy 154 Maverick,,154 Maverick,East Boston,MA,02128,Active,FS,Eating & Drinking,2025-06-12 15:14:34.67+00,6176500046,92958,42.36990799984808,-71.0379130020458
Democracy Brewing,,29 Temple,Boston,MA,02111,Active,FS,Eating & Drinking,2017-10-10 17:06:22.78+00,2078384703,134064,42.35513756632944,-71.06212885164082
DEM & TED INC.  PIZZA SHUTTLE,,239 Meridian,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:30+00,6175610711,158185,42.37580604021902,-71.03892977275065
Deno's Pizza and Subs,,2040 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2022-03-15 13:56:29.957+00,,155703,42.280288115333065,-71.15800161827612
Deparma,,182 Sumner,East Boston,MA,02128,Active,FS,Eating & Drinking,2016-10-17 18:26:46.183+00,6175676970,170104,42.36937120521468,-71.04032266142728
Descendant Detroit Style Pizza,,800 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2025-01-21 16:44:10.98+00,6175440417,157244,42.34729680482496,-71.0814574594804
